invoice_id	client_name	engagement_type	description	invoice_date	currency	amount	payment_status	payment_date	notes
FD-1180	Sokoni Wholesale  	Retainer	Monthly maintenance retainer	4/15/2025	KES	125353	PAID	4/24/2025	
FD-1004	Pesa Chap Chap Fintech	Retainer	Monthly feature development	1/21/2025	KES	122357	pending		
FD-1216	Uzima Wellness Center	Retainer	Monthly maintenance retainer	6/27/2025	KES	80972	PAID	8/5/2025	
FD-1007	Nyota Events Co	Fixed-Price Project	Mobile app - Android build	5/17/2025	KES	693405	PAID	7/27/2025	
FD-1160	  Barabara Logistics	Retainer	Ongoing support retainer	1/29/2025	KES	87762	Paid	2/28/2025	
FD-1036	Duka Moja Retail Group	Retainer	Ongoing support retainer	1/11/2025	KES	96898	paid	1/24/2025	
FD-1124	  Uzima Wellness Center	Fixed-Price Project	Customer portal MVP	21/04/2025	KES	1126979	PAID	6/11/2025	
FD-1171	Tumaini Schools Group	Retainer	Monthly feature development	6/7/2025	KES	107008	Paid	6/16/2025	
FD-1032	Kaziwatch HR Solutions	Fixed-Price Project	Mobile app - Android build	1/28/2025	KES	1340194	paid	2/23/2025	
FD-1242		Retainer	Monthly QA and bug-fix retainer	3/4/2025	KES	414708	Paid		
FD-1234	Internal Test	Fixed-Price Project	Test invoice - staging	5/24/2025	KES	0	Paid	4/17/2025	test
FD-1132	nuru health clinics	Fixed-Price Project	Internal HR tool development	6/22/2025	KES	351088	PAID	8/23/2025	
FD-1049	TANDAA MEDIA HOUSE	Fixed-Price Project	Data migration project	6/28/2025	KES	985261	Paid	6/28/2025	
FD-1020	Fasta Deliveries	Retainer	Infrastructure management retainer	3/4/2025	KES	111993	Paid	4/28/2025	
FD-1213	  Mazao Agritech	Fixed-Price Project	Internal HR tool development	1/4/2025	KES	886975	Paid	1/26/2025	
FD-1105	Bora Bites Catering  	Fixed-Price Project	Internal HR tool development	6/5/2025	KES	1221712	Paid	7/20/2025	
FD-1069	Jenga Construction Ltd	Fixed-Price Project	API integration - payments	4/15/2025	KES	1204622	paid	6/14/2025	
