invoice_id,client_name,engagement_type,description,invoice_date,currency,amount,payment_status,payment_date,notes
FD-1015,Tumaini Schools Group,Fixed-Price Project,Data migration project,6/3/2025,KES,859804,PAID,7/12/2025,
FD-1015,Tumaini Schools Group,Fixed-Price Project,Data migration project,6/3/2025,KES,859804,PAID,7/12/2025,
FD-1044,highrise property managers,Fixed-Price Project,Internal HR tool development,3/18/2025,KES,1243512,PAID,5/8/2025,
FD-1044,highrise property managers,Fixed-Price Project,Internal HR tool development,3/18/2025,KES,1243512,PAID,5/8/2025,
FD-1056,DUKA MOJA RETAIL GROUP,Retainer,Monthly QA and bug-fix retainer,4/18/2025,KES,120545,Paid,6/19/2025,
FD-1056,DUKA MOJA RETAIL GROUP,Retainer,Monthly QA and bug-fix retainer,4/18/2025,KES,120545,Paid,6/19/2025,
FD-1070,Zawadi Retailers  ,Fixed-Price Project,Booking system integration,3/17/2025,KES,644721,PAID,5/30/2025,
FD-1070,Zawadi Retailers  ,Fixed-Price Project,Booking system integration,3/17/2025,KES,644721,PAID,5/30/2025,
FD-1076,UZIMA WELLNESS CENTER,Fixed-Price Project,Custom CRM build,2/8/2025,KES,492890,Pending,,
FD-1076,UZIMA WELLNESS CENTER,Fixed-Price Project,Custom CRM build,2/8/2025,KES,492890,Pending,,
FD-1105,Bora Bites Catering  ,Fixed-Price Project,Internal HR tool development,6/5/2025,KES,1221712,Paid,7/20/2025,
FD-1105,Bora Bites Catering  ,Fixed-Price Project,Internal HR tool development,6/5/2025,KES,1221712,Paid,7/20/2025,
FD-1109,Legit Auto Parts  ,Fixed-Price Project,Mobile app - Android build,4/30/2025,KES,337914,Paid,6/19/2025,
FD-1109,Legit Auto Parts  ,Fixed-Price Project,Mobile app - Android build,4/30/2025,KES,337914,Paid,6/19/2025,
FD-1133,BORA BITES CATERING,Fixed-Price Project,Inventory management system,3/30/2025,KES,1081594,paid,6/13/2025,
FD-1133,BORA BITES CATERING,Fixed-Price Project,Inventory management system,3/30/2025,KES,1081594,paid,6/13/2025,
FD-1142,Uzima Wellness Center,Retainer,Ongoing support retainer,6/10/2025,KES,91436,PAID,8/5/2025,
FD-1142,Uzima Wellness Center,Retainer,Ongoing support retainer,6/10/2025,KES,91436,PAID,8/5/2025,
FD-1151,Safari Trails Tours,Retainer,Ongoing support retainer,5/5/2025,KES,75166,PENDING,,
FD-1151,Safari Trails Tours,Retainer,Ongoing support retainer,5/5/2025,KES,75166,PENDING,,
FD-1160,  Barabara Logistics,Retainer,Ongoing support retainer,1/29/2025,KES,87762,Paid,2/28/2025,
FD-1160,  Barabara Logistics,Retainer,Ongoing support retainer,1/29/2025,KES,87762,Paid,2/28/2025,
FD-1173,Elimu Bora Tutors,Retainer,Monthly maintenance retainer,4/9/2025,KES,124349,paid,6/5/2025,
FD-1173,Elimu Bora Tutors,Retainer,Monthly maintenance retainer,4/9/2025,KES,124349,paid,6/5/2025,
FD-1188,  Highrise Property Managers,Retainer,Monthly feature development,4/13/2025,KES,67139,Paid,5/23/2025,
FD-1188,  Highrise Property Managers,Retainer,Monthly feature development,4/13/2025,KES,67139,Paid,5/23/2025,
FD-1225,  Nuru Health Clinics,Retainer,Ongoing support retainer,5/16/2025,KES,66691,Pending,,
FD-1225,  Nuru Health Clinics,Retainer,Ongoing support retainer,5/16/2025,KES,66691,Pending,,
